Loan_ID,Married,Dependents,Education,Gender,Self_Employed,Property_Area,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status
LP001546,No,0,Graduate,Male,,Rural,2980,2083,120,360,1,Y
LP001552,Yes,0,Graduate,Male,No,Semiurban,4583,5625,255,360,1,Y
LP001560,Yes,0,Not Graduate,Male,No,Semiurban,1863,1041,98,360,1,Y
LP001562,Yes,0,Graduate,Male,No,Urban,7933,0,275,360,1,N
LP001565,Yes,1,Graduate,Male,No,Semiurban,3089,1280,121,360,0,N
LP001570,Yes,2,Graduate,Male,No,Rural,4167,1447,158,360,1,Y
LP001572,Yes,0,Graduate,Male,No,Urban,9323,0,75,180,1,Y
LP001574,Yes,0,Graduate,Male,No,Rural,3707,3166,182,,1,Y
LP001577,Yes,0,Graduate,Female,No,Rural,4583,0,112,360,1,N
LP001578,Yes,0,Graduate,Male,No,Rural,2439,3333,129,360,1,Y
LP001579,No,0,Graduate,Male,No,Semiurban,2237,0,63,480,0,N
LP001580,Yes,2,Graduate,Male,No,Semiurban,8000,0,200,360,1,Y
LP001581,Yes,0,Not Graduate,Male,,Rural,1820,1769,95,360,1,Y
LP001585,Yes,3+,Graduate,,No,Urban,51763,0,700,300,1,Y
LP001586,Yes,3+,Not Graduate,Male,No,Rural,3522,0,81,180,1,N
LP001594,Yes,0,Graduate,Male,No,Semiurban,5708,5625,187,360,1,Y
LP001603,Yes,0,Not Graduate,Male,Yes,Semiurban,4344,736,87,360,1,N
LP001606,Yes,0,Graduate,Male,No,Rural,3497,1964,116,360,1,Y
LP001608,Yes,2,Graduate,Male,No,Rural,2045,1619,101,360,1,Y
LP001610,Yes,3+,Graduate,Male,No,Semiurban,5516,11300,495,360,0,N
LP001616,Yes,1,Graduate,Male,No,Semiurban,3750,0,116,360,1,Y
LP001630,No,0,Not Graduate,Male,No,Urban,2333,1451,102,480,0,N
LP001633,Yes,1,Graduate,Male,No,Urban,6400,7250,180,360,0,N
LP001634,No,0,Graduate,Male,No,Rural,1916,5063,67,360,,N
LP001636,Yes,0,Graduate,Male,No,Semiurban,4600,0,73,180,1,Y
LP001637,Yes,1,Graduate,Male,No,Semiurban,33846,0,260,360,1,N
LP001639,Yes,0,Graduate,Female,No,Semiurban,3625,0,108,360,1,Y
LP001640,Yes,0,Graduate,Male,Yes,Semiurban,39147,4750,120,360,1,Y
LP001641,Yes,1,Graduate,Male,Yes,Rural,2178,0,66,300,0,N
LP001643,Yes,0,Graduate,Male,No,Rural,2383,2138,58,360,,Y
LP001644,Yes,0,Graduate,,Yes,Rural,674,5296,168,360,1,Y
LP001647,Yes,0,Graduate,Male,No,Rural,9328,0,188,180,1,Y
LP001653,No,0,Not Graduate,Male,No,Rural,4885,0,48,360,1,Y
LP001656,No,0,Graduate,Male,No,Semiurban,12000,0,164,360,1,N
LP001657,Yes,0,Not Graduate,Male,No,Urban,6033,0,160,360,1,N
LP001658,No,0,Graduate,Male,No,Semiurban,3858,0,76,360,1,Y
LP001664,No,0,Graduate,Male,No,Rural,4191,0,120,360,1,Y
LP001665,Yes,1,Graduate,Male,No,Semiurban,3125,2583,170,360,1,N
LP001666,No,0,Graduate,Male,No,Rural,8333,3750,187,360,1,Y
LP001669,No,0,Not Graduate,Female,No,Urban,1907,2365,120,,1,Y
LP001671,Yes,0,Graduate,Female,No,Semiurban,3416,2816,113,360,,Y
LP001673,No,0,Graduate,Male,Yes,Urban,11000,0,83,360,1,N
LP001674,Yes,1,Not Graduate,Male,No,Semiurban,2600,2500,90,360,1,Y
LP001677,No,2,Graduate,Male,No,Semiurban,4923,0,166,360,0,Y
LP001682,Yes,3+,Not Graduate,Male,No,Urban,3992,0,,180,1,N
LP001688,Yes,1,Not Graduate,Male,No,Urban,3500,1083,135,360,1,Y
LP001691,Yes,2,Not Graduate,Male,No,Semiurban,3917,0,124,360,1,Y
LP001692,No,0,Not Graduate,Female,No,Semiurban,4408,0,120,360,1,Y
LP001693,No,0,Graduate,Female,No,Urban,3244,0,80,360,1,Y
LP001698,No,0,Not Graduate,Male,No,Rural,3975,2531,55,360,1,Y
LP001699,No,0,Graduate,Male,No,Urban,2479,0,59,360,1,Y
LP001702,No,0,Graduate,Male,No,Semiurban,3418,0,127,360,1,N
LP001708,No,0,Graduate,Female,No,Semiurban,10000,0,214,360,1,N
LP001711,Yes,3+,Graduate,Male,No,Semiurban,3430,1250,128,360,0,N
LP001713,Yes,1,Graduate,Male,Yes,Urban,7787,0,240,360,1,Y
LP001715,Yes,3+,Not Graduate,Male,Yes,Rural,5703,0,130,360,1,Y
LP001716,Yes,0,Graduate,Male,No,Urban,3173,3021,137,360,1,Y
LP001720,Yes,3+,Not Graduate,Male,No,Semiurban,3850,983,100,360,1,Y
LP001722,Yes,0,Graduate,Male,No,Rural,150,1800,135,360,1,N
LP001726,Yes,0,Graduate,Male,No,Semiurban,3727,1775,131,360,1,Y
LP001732,Yes,2,Graduate,Male,,Semiurban,5000,0,72,360,0,N
LP001734,Yes,2,Graduate,Female,No,Semiurban,4283,2383,127,360,,Y
LP001736,Yes,0,Graduate,Male,No,Urban,2221,0,60,360,0,N
LP001743,Yes,2,Graduate,Male,No,Semiurban,4009,1717,116,360,1,Y
LP001744,No,0,Graduate,Male,No,Semiurban,2971,2791,144,360,1,Y
LP001749,Yes,0,Graduate,Male,No,Semiurban,7578,1010,175,,1,Y
LP001750,Yes,0,Graduate,Male,No,Semiurban,6250,0,128,360,1,Y
LP001751,Yes,0,Graduate,Male,No,Rural,3250,0,170,360,1,N
LP001754,Yes,,Not Graduate,Male,Yes,Urban,4735,0,138,360,1,N
LP001758,Yes,2,Graduate,Male,No,Semiurban,6250,1695,210,360,1,Y
LP001760,,,Graduate,Male,No,Semiurban,4758,0,158,480,1,Y
LP001761,No,0,Graduate,Male,Yes,Rural,6400,0,200,360,1,Y
LP001765,Yes,1,Graduate,Male,No,Semiurban,2491,2054,104,360,1,Y
LP001768,Yes,0,Graduate,Male,,Rural,3716,0,42,180,1,Y
LP001770,No,0,Not Graduate,Male,No,Rural,3189,2598,120,,1,Y
LP001776,No,0,Graduate,Female,No,Semiurban,8333,0,280,360,1,Y
LP001778,Yes,1,Graduate,Male,No,Semiurban,3155,1779,140,360,1,Y
LP001784,Yes,1,Graduate,Male,No,Rural,5500,1260,170,360,1,Y
LP001786,Yes,0,Graduate,Male,,Urban,5746,0,255,360,,N
LP001788,No,0,Graduate,Female,Yes,Urban,3463,0,122,360,,Y
LP001790,No,1,Graduate,Female,No,Rural,3812,0,112,360,1,Y
LP001792,Yes,1,Graduate,Male,No,Semiurban,3315,0,96,360,1,Y
LP001798,Yes,2,Graduate,Male,No,Rural,5819,5000,120,360,1,Y
LP001800,Yes,1,Not Graduate,Male,No,Urban,2510,1983,140,180,1,N
LP001806,No,0,Graduate,Male,No,Urban,2965,5701,155,60,1,Y
LP001807,Yes,2,Graduate,Male,Yes,Rural,6250,1300,108,360,1,Y
LP001811,Yes,0,Not Graduate,Male,No,Semiurban,3406,4417,123,360,1,Y
LP001813,No,0,Graduate,Male,Yes,Urban,6050,4333,120,180,1,N
LP001814,Yes,2,Graduate,Male,No,Urban,9703,0,112,360,1,Y
LP001819,Yes,1,Not Graduate,Male,No,Urban,6608,0,137,180,1,Y
LP001824,Yes,1,Graduate,Male,No,Semiurban,2882,1843,123,480,1,Y
LP001825,Yes,0,Graduate,Male,No,Urban,1809,1868,90,360,1,Y
LP001835,Yes,0,Not Graduate,Male,No,Semiurban,1668,3890,201,360,0,N
LP001836,No,2,Graduate,Female,No,Urban,3427,0,138,360,1,N
LP001841,No,0,Not Graduate,Male,Yes,Rural,2583,2167,104,360,1,Y
LP001843,Yes,1,Not Graduate,Male,No,Semiurban,2661,7101,279,180,1,Y
LP001844,No,0,Graduate,Male,Yes,Urban,16250,0,192,360,0,N
LP001846,No,3+,Graduate,Female,No,Rural,3083,0,255,360,1,Y
LP001849,No,0,Not Graduate,Male,No,Rural,6045,0,115,360,0,N
LP001854,Yes,3+,Graduate,Male,No,Urban,5250,0,94,360,1,N
LP001859,Yes,0,Graduate,Male,No,Rural,14683,2100,304,360,1,N
LP001864,Yes,3+,Not Graduate,Male,No,Semiurban,4931,0,128,360,,N
LP001865,Yes,1,Graduate,Male,No,Urban,6083,4250,330,360,,Y
LP001868,No,0,Graduate,Male,No,Semiurban,2060,2209,134,360,1,Y
LP001870,No,1,Graduate,Female,No,Semiurban,3481,0,155,36,1,N
LP001871,No,0,Graduate,Female,No,Rural,7200,0,120,360,1,Y
LP001872,No,0,Graduate,Male,Yes,Semiurban,5166,0,128,360,1,Y
LP001875,No,0,Graduate,Male,No,Rural,4095,3447,151,360,1,Y
LP001877,Yes,2,Graduate,Male,No,Semiurban,4708,1387,150,360,1,Y
LP001882,Yes,3+,Graduate,Male,No,Urban,4333,1811,160,360,0,Y
LP001883,No,0,Graduate,Female,,Rural,3418,0,135,360,1,N
LP001884,No,1,Graduate,Female,No,Urban,2876,1560,90,360,1,Y
LP001888,No,0,Graduate,Female,No,Urban,3237,0,30,360,1,Y
LP001891,Yes,0,Graduate,Male,No,Urban,11146,0,136,360,1,Y
LP001892,No,0,Graduate,Male,No,Rural,2833,1857,126,360,1,Y
LP001894,Yes,0,Graduate,Male,No,Semiurban,2620,2223,150,360,1,Y
LP001896,Yes,2,Graduate,Male,No,Semiurban,3900,0,90,360,1,Y
LP001900,Yes,1,Graduate,Male,No,Semiurban,2750,1842,115,360,1,Y
LP001903,Yes,0,Graduate,Male,No,Semiurban,3993,3274,207,360,1,Y
LP001904,Yes,0,Graduate,Male,No,Urban,3103,1300,80,360,1,Y
LP001907,Yes,0,Graduate,Male,No,Semiurban,14583,0,436,360,1,Y
LP001908,Yes,0,Not Graduate,Female,No,Rural,4100,0,124,360,,Y
LP001910,No,1,Not Graduate,Male,Yes,Urban,4053,2426,158,360,0,N
LP001914,Yes,0,Graduate,Male,No,Semiurban,3927,800,112,360,1,Y
LP001915,Yes,2,Graduate,Male,No,Urban,2301,985.7999878,78,180,1,Y
LP001917,No,0,Graduate,Female,No,Urban,1811,1666,54,360,1,Y
LP001922,Yes,0,Graduate,Male,No,Rural,20667,0,,360,1,N
LP001924,No,0,Graduate,Male,No,Rural,3158,3053,89,360,1,Y
LP001925,No,0,Graduate,Female,Yes,Semiurban,2600,1717,99,300,1,N
LP001926,Yes,0,Graduate,Male,No,Rural,3704,2000,120,360,1,Y
LP001931,No,0,Graduate,Female,No,Semiurban,4124,0,115,360,1,Y
LP001935,No,0,Graduate,Male,No,Rural,9508,0,187,360,1,Y
LP001936,Yes,0,Graduate,Male,No,Rural,3075,2416,139,360,1,Y
LP001938,Yes,2,Graduate,Male,No,Semiurban,4400,0,127,360,0,N
LP001940,Yes,2,Graduate,Male,No,Urban,3153,1560,134,360,1,Y
LP001945,No,,Graduate,Female,No,Urban,5417,0,143,480,0,N
LP001947,Yes,0,Graduate,Male,No,Semiurban,2383,3334,172,360,1,Y
LP001949,Yes,3+,Graduate,Male,,Urban,4416,1250,110,360,1,Y
LP001953,Yes,1,Graduate,Male,No,Semiurban,6875,0,200,360,1,Y
LP001954,Yes,1,Graduate,Female,No,Urban,4666,0,135,360,1,Y
LP001955,No,0,Graduate,Female,No,Rural,5000,2541,151,480,1,N
LP001963,Yes,1,Graduate,Male,No,Urban,2014,2925,113,360,1,N
LP001964,Yes,0,Not Graduate,Male,No,Urban,1800,2934,93,360,0,N
LP001972,Yes,,Not Graduate,Male,No,Semiurban,2875,1750,105,360,1,Y
LP001974,No,0,Graduate,Female,No,Rural,5000,0,132,360,1,Y
LP001977,Yes,1,Graduate,Male,No,Urban,1625,1803,96,360,1,Y
LP001978,No,0,Graduate,Male,No,Rural,4000,2500,140,360,1,Y
LP001990,No,0,Not Graduate,Male,No,Urban,2000,0,,360,1,N
LP001993,No,0,Graduate,Female,No,Rural,3762,1666,135,360,1,Y
LP001994,No,0,Graduate,Female,No,Urban,2400,1863,104,360,0,N
LP001996,No,0,Graduate,Male,No,Rural,20233,0,480,360,1,N
LP001998,Yes,2,Not Graduate,Male,No,Rural,7667,0,185,360,,Y
LP002002,No,0,Graduate,Female,No,Semiurban,2917,0,84,360,1,Y
LP002004,No,0,Not Graduate,Male,No,Semiurban,2927,2405,111,360,1,Y
LP002006,No,0,Graduate,Female,No,Rural,2507,0,56,360,1,Y
LP002008,Yes,2,Graduate,Male,Yes,Rural,5746,0,144,84,,Y
LP002024,Yes,0,Graduate,,No,Rural,2473,1843,159,360,1,N
LP002031,Yes,1,Not Graduate,Male,No,Urban,3399,1640,111,180,1,Y
LP002035,Yes,2,Graduate,Male,No,Semiurban,3717,0,120,360,1,Y
LP002036,Yes,0,Graduate,Male,No,Urban,2058,2134,88,360,,Y
LP002043,No,1,Graduate,Female,No,Semiurban,3541,0,112,360,,Y
LP002050,Yes,1,Graduate,Male,Yes,Rural,10000,0,155,360,1,N
LP002051,Yes,0,Graduate,Male,No,Semiurban,2400,2167,115,360,1,Y
LP002053,Yes,3+,Graduate,Male,No,Semiurban,4342,189,124,360,1,Y
LP002054,Yes,2,Not Graduate,Male,No,Rural,3601,1590,,360,1,Y
LP002055,No,0,Graduate,Female,No,Rural,3166,2985,132,360,,Y
LP002065,Yes,3+,Graduate,Male,No,Rural,15000,0,300,360,1,Y
LP002067,Yes,1,Graduate,Male,Yes,Rural,8666,4983,376,360,0,N
LP002068,No,0,Graduate,Male,No,Rural,4917,0,130,360,0,Y
LP002082,Yes,0,Graduate,Male,Yes,Semiurban,5818,2160,184,360,1,Y
LP002086,Yes,0,Graduate,Female,No,Urban,4333,2451,110,360,1,N
LP002087,No,0,Graduate,Female,No,Urban,2500,0,67,360,1,Y
LP002097,No,1,Graduate,Male,No,Urban,4384,1793,117,360,1,Y
LP002098,No,0,Graduate,Male,No,Semiurban,2935,0,98,360,1,Y
LP002100,No,,Graduate,Male,No,Urban,2833,0,71,360,1,Y
LP002101,Yes,0,Graduate,Male,,Urban,63337,0,490,180,1,Y
LP002103,Yes,1,Graduate,,Yes,Urban,9833,1833,182,180,1,Y
LP002106,Yes,,Graduate,Male,Yes,Semiurban,5503,4490,70,,1,Y
LP002110,Yes,1,Graduate,Male,,Rural,5250,688,160,360,1,Y
LP002112,Yes,2,Graduate,Male,Yes,Rural,2500,4600,176,360,1,Y
LP002113,No,3+,Not Graduate,Female,No,Urban,1830,0,,360,0,N
LP002114,No,0,Graduate,Female,No,Semiurban,4160,0,71,360,1,Y
LP002115,Yes,3+,Not Graduate,Male,No,Rural,2647,1587,173,360,1,N
LP002116,No,0,Graduate,Female,No,Rural,2378,0,46,360,1,N
LP002119,Yes,1,Not Graduate,Male,No,Urban,4554,1229,158,360,1,Y
LP002126,Yes,3+,Not Graduate,Male,No,Semiurban,3173,0,74,360,1,Y
LP002128,Yes,2,Graduate,Male,,Rural,2583,2330,125,360,1,Y
LP002129,Yes,0,Graduate,Male,No,Semiurban,2499,2458,160,360,1,Y
LP002130,Yes,,Not Graduate,Male,No,Rural,3523,3230,152,360,0,N
